Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000037095.7	Lrg1	35.49785	15.42502	55.57068	1.78415938554841	0.224055086545499	6.67081569661297	2.54385523918048e-11	9.45097522556401e-09
ENSMUSG00000043243.15	Fam129c	18.59672	21.36106	15.83238	-0.409749399355598	0.211316429779494	-6.66022710489298	2.73404778178794e-11	1.00483605571518e-08
ENSMUSG00000022440.9	C1qtnf6	12.088983	14.66133	9.516636	-0.574533437593216	0.28138846732231	-6.65297513131332	2.87226741997191e-11	1.04440532356e-08
ENSMUSG00000044734.16	Serpinb1a	57.17958	32.5674	81.79176	1.30242639220332	0.168895227071919	6.63299971525149	3.28932445034967e-11	1.18346431276791e-08
ENSMUSG00000057457.11	Phex	28.89482	38.06952	19.72012	-0.915011172602179	0.18645306285256	-6.62089645990324	3.57026991637956e-11	1.27116485147764e-08
ENSMUSG00000034066.13	Farp2	16.612177	22.13478	11.089574	-0.936299970396234	0.204800181319204	-6.59035406313735	4.38778911889857e-11	1.5280932595241e-08
ENSMUSG00000040711.7	Sh3pxd2b	18.64906	24.5527	12.74542	-0.894524750134573	0.21264614626619	-6.58981374593416	4.40378679316665e-11	1.5280932595241e-08
ENSMUSG00000042804.13	Gpr153	6.213573	8.628474	3.798672	-1.00467196099237	0.22999000330849	-6.58906613426762	4.42601617006688e-11	1.5280932595241e-08
ENSMUSG00000027833.16	Shox2	22.55135	26.58826	18.51444	-0.499512405556458	0.151110222758741	-6.56444585713475	5.22267160534108e-11	1.78350856250547e-08
ENSMUSG00000022231.10	Sema5a	25.12548	29.43114	20.81982	-0.479909180197485	0.161364590149297	-6.56309658381542	5.27016866041698e-11	1.78350856250547e-08
ENSMUSG00000056071.12	S100a9	4703.815	2684.16	6723.47	1.32441250749907	0.169515346546256	6.52341629967004	6.87237703428714e-11	2.30292006894053e-08
ENSMUSG00000025213.11	Kazald1	14.593339	21.4468	7.739878	-1.36082474364417	0.276043656180013	-6.51984771100259	7.03788095547145e-11	2.33548321415548e-08
ENSMUSG00000052270.7	Fpr2	23.828809	11.381858	36.27576	1.59000994822254	0.21286614795647	6.5159664432731	7.22231210299663e-11	2.37246369968947e-08
ENSMUSG00000036019.8	Tmtc2	9.179288	10.483036	7.87554	-0.371597323773835	0.196890640615316	-6.51460452197774	7.28814185100626e-11	2.37246369968947e-08
ENSMUSG00000040998.18	Npnt	4.715689	5.985422	3.445956	-0.651853603065302	0.20846110859591	-6.49410560691719	8.35281414841812e-11	2.69338856219747e-08
ENSMUSG00000032006.15	Pdgfd	11.575822	14.81516	8.336484	-0.760356894602067	0.178944696476498	-6.49079222066484	8.53861729266578e-11	2.72756952395623e-08
ENSMUSG00000003379.7	Cd79a	20.016757	28.80116	11.232354	-1.28466642469344	0.278552407105155	-6.48408852037696	8.92698010211611e-11	2.82522388787341e-08
ENSMUSG00000031239.5	Itm2a	11.757346	17.33262	6.182072	-1.35194096172066	0.257009570520995	-6.47459970130683	9.50636239484398e-11	2.98098593262172e-08
ENSMUSG00000032340.8	Neo1	11.060945	13.96022	8.16167	-0.707448887615981	0.164954322009567	-6.46180142743419	1.03463813016949e-10	3.21490284447211e-08
ENSMUSG00000030616.15	Sytl2	24.80273	30.49522	19.11024	-0.647202589569055	0.180341485984355	-6.45047476622029	1.11500297411486e-10	3.43340555452665e-08
ENSMUSG00000040003.18	Magi2	16.12568	18.51164	13.73972	-0.404625926172015	0.173663961649712	-6.42664542849854	1.30450618418383e-10	3.98107333708957e-08
ENSMUSG00000041754.5	Trem3	17.856124	8.821228	26.89102	1.50582536729202	0.203310581603125	6.42433922204388	1.32443559639855e-10	4.00612466238074e-08
ENSMUSG00000032380.8	Dapk2	30.11623	36.41408	23.81838	-0.592172352381459	0.151369208898226	-6.41493063178777	1.40886998112602e-10	4.1925590577475e-08
